location_key,location_cd,location_dsc,loc_brand_cd,loc_brand_dsc,store_city,store_pcode,district,country_key
9664010006,9664,CBD COVILHA,302,continente bom dia,COVILHÃ,6200-027,302,PT010001
1059010007,1059,MDL ILHAVO,303,continente modelo,ILHAVO,3830-300,303,PT010001
319010004,319,CBD S. JOAO FOZ,302,continente bom dia,PORTO,4150-414,302,PT010001
2253010003,2253,CBD 800 S PEDRO COVA,302,continente bom dia,GONDOMAR,4510-460,302,PT010001
231010002,231,MDL V. CAMBRA,303,continente modelo,VALE DE CAMBRA,3730-401,303,PT010001
494010006,494,MDL POMBAL,303,continente modelo,POMBAL,3100-545,303,PT010001
803010002,803,MDL Horta-Açores,303,continente modelo,HORTA,9900-038,303,PT010001
7873010005,7873,CBD 200 BENFICA,302,continente bom dia,LISBOA,1500-501,302,PT010001
1704010005,1704,CBD PONTE DE PEDRA,302,continente bom dia,MAIA,4470-108,302,PT010001
327010002,327,CBD VIZ BENFICA,302,continente bom dia,LISBOA,1500-471,302,PT010001
461010004,461,CNT S.AT CAVALEIROS,143,continente,LOURES,2670-339,143,PT010001
464010002,464,CNT TELHEIRAS,143,continente,TELHEIRAS,1600-528,143,PT010001
847010003,847,MDL CANIÇO,303,continente modelo,CANIÇO,9125-068,303,PT010001
3609010004,3609,CBD AVANCA,302,continente bom dia,AVANCA,3860-157,302,PT010001
1010002,1,CNT MATOSINHOS,143,continente,SENHORA DA  HORA MTS,4464-503,143,PT010001
2402010005,2402,CBD LAVRA,302,continente bom dia,MATOSINHOS,4455-137,302,PT010001
2090010003,2090,MDL VIZELA,303,continente modelo,VIZELA,4815-401,303,PT010001
2089010002,2089,MDL SÃO MARTINHO,303,continente modelo,FUNCHAL,9000-070,303,PT010001
1053010004,1053,MDL MIRA MAIA,303,continente modelo,MAIA,4470-274,303,PT010001
1054010003,1054,MDL SESIMBRA,303,continente modelo,SESIMBRA - CASTELO,2970-866,303,PT010001
2754010004,2754,CBD COIMBRA AUTOIND,302,continente bom dia,COIMBRA,3040-320,302,PT010001
1484010005,1484,CBD 800 OLIV FRADES,302,continente bom dia,OLIVEIRA FRADES,3680-146,302,PT010001
842010003,842,MDL CANCELA,303,continente modelo,FUNCHAL,9050-299,303,PT010001
2082010002,2082,MDL RIB BRAVA CENTRO,303,continente modelo,RIBEIRA BRAVA,9350-150,303,PT010001
5152010004,5152,CBD GUARDA,302,continente bom dia,GUARDA,6300-864,302,PT010001
303010002,303,CBD VIZ CAMPO GRANDE,302,continente bom dia,LISBOA,1700-086,302,PT010001
940010002,940,CNT VALONGO,143,continente,VALONGO,4440-837,143,PT010001
271010004,271,MDL ARROJA,303,continente modelo,ODIVELAS,1685-654,303,PT010001
246010004,246,MDL SINTRA,303,continente modelo,SINTRA,2710-140,303,PT010001
1169010003,1169,MDL OVAR,303,continente modelo,OVAR,3880-783,303,PT010001
247010002,247,MDL PAREDES,303,continente modelo,PAREDES,4580-233,303,PT010001
1352010006,1352,CBD FABRICA COBRE,302,continente bom dia,PORTO,4350-214,302,PT010001
9024010004,9024,CBD ÓBIDOS,302,continente bom dia,ÓBIDOS,2510-081,302,PT010001
7012010003,7012,CBD VILA VERDE,302,continente bom dia,VILA VERDE,4730-715,302,PT010001
2076010004,2076,CBD CANEÇAS,302,continente bom dia,Caneças,1685-581,302,PT010001
223010002,223,MDL T. VEDRAS,303,continente modelo,TORRES VEDRAS,2560-000,303,PT010001
221010002,221,MDL ALCOBACA,303,continente modelo,ALCOBAÇA,2460-052,303,PT010001
2086010002,2086,MDL SANTANA,303,continente modelo,SANTANA,9230-085,303,PT010001
7695010006,7695,MDL PORTELA RALIS,303,continente modelo,PORTELA,2685-252,303,PT010001
1908010005,1908,CBD PÓVOA STª IRIA,302,continente bom dia,PÓVOA STª IRIA,2625-247,302,PT010001
3395010003,3395,CBD SANTIAGO CACÉM,302,continente bom dia,SANTIAGO CACÉM,7540-113,302,PT010001
807010002,807,MDL Lagoa-Açores,303,continente modelo,LAGOA,9560-414,303,PT010001
1902010005,1902,CBD CHOUPAL-ALVERCA,302,continente bom dia,VILA FRANCA DE XIRA,2615-009,302,PT010001
7833010004,7833,TENDA MH POMBAL.,303,continente modelo,POMBAL,3100-505,303,PT010001
4290010003,4290,CBD ASPRELA,302,continente bom dia,PARANHOS,4200-116,302,PT010001
3580010004,3580,CBD V NOVA CERVEIRA,302,continente bom dia,VILA NOVA CERVEIRA,4920-260,302,PT010001
213010003,213,MDL T. NOVAS,303,continente modelo,TORRES NOVAS,2350-537,303,PT010001
1909010006,1909,CBD ALFORNELOS,302,continente bom dia,AMADORA,2650-161,302,PT010001
224010002,224,MDL CHAVES,303,continente modelo,CHAVES,5400-570,303,PT010001
217010003,217,CNT EVORA,143,continente,ÉVORA,7000-172,143,PT010001
340010005,340,CBD MASSARELOS,302,continente bom dia,PORTO,4150-138,302,PT010001
4228010003,4228,CBD PONTE DA BARCA,302,continente bom dia,PONTE DA BARCA,4971-000,302,PT010001
3603010004,3603,CBD AVEIRO ESTAÇÃO,302,continente bom dia,AVEIRO,3800-385,302,PT010001
309010002,309,CBD VIZ OEIRAS,302,continente bom dia,OEIRAS,2780-199,302,PT010001
927010004,927,CNT BARREIRO,143,continente,BARREIRO,2830-248,143,PT010001
5763010008,5763,CBD LEIRIA MARRAZES,302,continente bom dia,MARRAZES,2415-369,302,PT010001
3585010004,3585,CBD ENTRONCAMENTO,302,continente bom dia,ENTRONCAMENTO,2330-066,302,PT010001
323010003,323,CBD MASSAMA NRT,302,continente bom dia,BELAS,2605-661,302,PT010001
1906010006,1906,CBD CRUZ DE PAU,302,continente bom dia,CRUZ DE PAU,2845-547,302,PT010001
294010005,294,MDL SETUBAL,303,continente modelo,SETÚBAL,2910-272,303,PT010001
4526010004,4526,CBD ALPIARCA,302,continente bom dia,ALPIARÇA,2090-103,302,PT010001
7678010004,7678,CBD BAGUIM DO MONTE,302,continente bom dia,BAGUIM DO MONTE,4435-816,302,PT010001
3864010003,3864,CBD CALDAS TAIPAS,302,continente bom dia,GUIMARAES,4805-669,302,PT010001
215010003,215,CNT SANTAREM,143,continente,SANTAREM,2005-181,143,PT010001
7903010002,7903,TENDA CNT AMADORA,143,continente,AMADORA,2724-510,143,PT010001
220010003,220,MDL ABRANTES,303,continente modelo,ABRANTES,2200-210,303,PT010001
266010002,266,MDL S. MAGOS,303,continente modelo,SALVATERRA,2120-066,303,PT010001
5153010004,5153,CBD BARCELOS,302,continente bom dia,BARCELOS,4750-234,302,PT010001
219010003,219,MDL STO. TIRSO,303,continente modelo,SANTO TIRSO,4780-140,303,PT010001
4508010006,4508,CBD TORRES V ARENES,302,continente bom dia,TORRES VEDRAS,2560-582,302,PT010001
277010002,277,MDL TROFA,303,continente modelo,TROFA,4785-716,303,PT010001
205010002,205,MDL CALDAS,303,continente modelo,CALDAS DA RAINHA,2500-136,303,PT010001
313010002,313,CBD SACAVEM,302,continente bom dia,SACAVÉM,2685-010,302,PT010001
4010002,4,CNT GAIASHOPPING,143,continente,VILA NOVA DE GAIA,4404-501,143,PT010001
805010002,805,MDL P Victor-Açores,303,continente modelo,PRAIA DA VITÓRIA,9760-403,303,PT010001
2852010002,2852,MDL Fajã-Açores,303,continente modelo,PONTA DELGADA,9500-452,303,PT010001
6089010005,6089,MDL BEJA RETAIL,303,continente modelo,BEJA,7800-098,303,PT010001
2692010003,2692,CBD QUINTA DO ANJO,302,continente bom dia,PALMELA,2950-805,302,PT010001
1949010005,1949,CNT ONLINE BAZAAR,888,E-commerce MC,VALONGO,4440-837,888,PT010001
1503010004,1503,MDL SINES,303,continente modelo,SINES,7520-137,303,PT010001
6091010004,6091,MDL ESTORIL,303,continente modelo,ESTORIL,2765-000,303,PT010001
5759010005,5759,CBD OLHÃO,302,continente bom dia,OLHÃO,8700-474,302,PT010001
250010002,250,MDL S. COSME,303,continente modelo,GONDOMAR,4420-490,303,PT010001
1984010003,1984,CBD MATOSINHOS,302,continente bom dia,MATOSINHOS,4450-016,302,PT010001
843010003,843,MDL RIB. BRAVA,303,continente modelo,RIBEIRA BRAVA,9350-131,303,PT010001
262010003,262,MDL P. VARZIM,303,continente modelo,POVOA DE VARZIM,4495-252,303,PT010001
3386010004,3386,CBD ARRUDA VINHOS,302,continente bom dia,ARRUDA DOS VINHOS,2630-299,302,PT010001
336010004,336,CBD VIZ CARL. MARDEL,302,continente bom dia,LISBOA,1900-122,302,PT010001
1058010005,1058,MDL TIRES,303,continente modelo,SÃO DOMINGOS D RANA,2785,303,PT010001
241010004,241,MDL C. BRANCO,303,continente modelo,CASTELO BRANCO,6000-145,303,PT010001
468010003,468,CNT TORRES NOVAS,143,continente,TORRES NOVAS,2350-484,143,PT010001
7763010004,7763,CBD CC ROMA,302,continente bom dia,LISBOA,1700-115,302,PT010001
9663010006,9663,CBD CANEDO,302,continente bom dia,STA MARIA DA FEIRA,4525-189,302,PT010001
3387010006,3387,MDL CARREGADO,303,continente modelo,ALENQUER,2580-351,303,PT010001
2401010004,2401,CBD BARBOSA BOCAGE,302,continente bom dia,LISBOA,1050-053,302,PT010001
7116010005,7116,CNT LAB F VILHENA,147,continente labs,LISBOA,1000-135,147,PT010001
7207010005,7207,MDL CARCAVELOS,303,continente modelo,CARCAVELOS,2775-716,303,PT010001
5739010003,5739,CBD 800 PAREDES CENT,302,continente bom dia,PAREDES,4580-875,302,PT010001
210010003,210,CNT S.J. MADEIRA,143,continente,S JOÃO DA MADEIRA,3700-205,143,PT010001
245010002,245,MDL BRAGA,303,continente modelo,BRAGA,4700-154,303,PT010001
6891010006,6891,MDL SEIXAL,303,continente modelo,SEIXAL-FERNAO FERRO,2840-132,303,PT010001
334010002,334,MDL FAMALICÃO,303,continente modelo,FAMALICÃO,4760-727,303,PT010001
3464010005,3464,CBD VENDAS NOVAS,302,continente bom dia,VENDAS NOVAS,7080-032,302,PT010001
258010002,258,MDL LAGOS,303,continente modelo,LAGOS,8600-581,303,PT010001
8548010005,8548,CBD ALPENDURADA,302,continente bom dia,MARCO DE CANAVEZES,4576-701,302,PT010001
7214010004,7214,CBD GANDRA PAREDES,302,continente bom dia,GANDRA,4585-248,302,PT010001
234010002,234,MDL MAFRA,303,continente modelo,MAFRA,2640-577,303,PT010001
4322010006,4322,CBD SANTO ANDRE,302,continente bom dia,SANTO ANDRÉ,7500-110,302,PT010001
9587010006,9587,CBD QUELUZ P COUCEIR,302,continente bom dia,QUELUZ,2745-190,302,PT010001
1978010004,1978,CNT PORTIMÃO 2,143,continente,PORTIMÃO,8500-313,143,PT010001
1505010005,1505,CBD SEIA,302,continente bom dia,SEIA,6270-000,302,PT010001
5767010005,5767,CBD QUINTA MARQUÊS,302,continente bom dia,OEIRAS,2780-155,302,PT010001
801010002,801,MDL P Delgad-Açores,303,continente modelo,PONTA DELGADA,9500,303,PT010001
1391010007,1391,MDL RIO MAIOR,303,continente modelo,RIO MAIOR,2040-413,303,PT010001
261010002,261,MDL O. AZEMEIS,303,continente modelo,OLIVEIRA DE AZEMEIS,3720-256,303,PT010001
7691010005,7691,CBD 500 GEN ROÇADAS,302,continente bom dia,LISBOA,1170-159,302,PT010001
2093010004,2093,CNT ONLINE MANUAIS,888,E-commerce MC,VALONGO,4440-837,888,PT010001
7831010004,7831,TENDA MH AG PENA.,303,continente modelo,FUNCHAL,9200-017,303,PT010001
7914010002,7914,TENDA MH TORRES NOVA,303,continente modelo,TORRES NOVAS,2350-537,303,PT010001
2162010004,2162,CNT ONLINE CENT DROP,888,E-commerce MC,SENHORA DA HORA,4464-503,888,PT010001
7905010002,7905,TENDA CNT EVORA,143,continente,EVORA,7000-172,143,PT010001
8736010005,8736,CBD CARVALHOS,302,continente bom dia,CARVALHOS,4415-385,302,PT010001
16010002,16,CNT OVAR,143,continente,OVAR,3880-109,143,PT010001
321010002,321,CBD VIZ ALM. BARROSO,302,continente bom dia,LISBOA,1000-012,302,PT010001
209010002,209,CNT VIANA,143,continente,VIANA DO CASTELO,4900-204,143,PT010001
7683010004,7683,CBD 500 VIA CATARINA,302,continente bom dia,PORTO,4000-449,302,PT010001
282010005,282,CBD VIZ S. JOÃO VER,302,continente bom dia,LOUROSA,4520-605,302,PT010001
4873010004,4873,CBD 800 MONTEMOR O V,302,continente bom dia,MONTEMOR O VELHO,3140-097,302,PT010001
381010005,381,MDL LAMEGO,303,continente modelo,LAMEGO,5100-190,303,PT010001
1501010006,1501,MDL SM DA FEIRA,303,continente modelo,SANTA MARIA DA FEIRA,4520-192,303,PT010001
281010002,281,MDL ESPOSENDE,303,continente modelo,ESPOSENDE,4740-010,303,PT010001
3192010005,3192,MDL ALTA LISBOA,303,continente modelo,LISBOA,1750-480,303,PT010001
3341010002,3341,CBD PÓVOA LANHOSO,302,continente bom dia,PÓVOA LANHOSO,4830-360,302,PT010001
242010002,242,MDL P. FERREIRA,303,continente modelo,PAÇOS FERREIRA,4580-136,303,PT010001
5745010004,5745,CBD OIA,302,continente bom dia,OIA,3770-059,302,PT010001
333010004,333,CNT MAIA JARDIM,143,continente,MAIA,4475-451,143,PT010001
249010002,249,MDL FANZERES,303,continente modelo,GONDOMAR,4510-570,303,PT010001
804010002,804,MDL A Herois-Açores,303,continente modelo,ANGRA DO HEROISMO,9700-037,303,PT010001
280010002,280,MDL FAFE,303,continente modelo,FAFE,4820-273,303,PT010001
2864010007,2864,MDL ALTO DO LUMIAR,303,continente modelo,LISBOA,1750-314,303,PT010001
1911010005,1911,CBD ALCOCHETE,302,continente bom dia,ALCOCHETE,2890-013,302,PT010001
229010002,229,MDL ELVAS,303,continente modelo,ELVAS,7350-214,303,PT010001
5749010007,5749,CBD S BRAS ALPORTEL,302,continente bom dia,SAO BRAS DE ALPORTEL,8150-101,302,PT010001
240010002,240,MDL V.F. XIRA,303,continente modelo,VILA FRANCA DE XIRA,2600-723,303,PT010001
236010003,236,MDL AGUEDA,303,continente modelo,ÁGUEDA,3750-301,303,PT010001
3331010005,3331,CBD BRAGA S JOSE,302,continente bom dia,BRAGA,4710-913,302,PT010001
307010002,307,CBD NORTESHOPPING,302,continente bom dia,SENHORA DA HORA,4464-503,302,PT010001
1700010005,1700,MDL QUARTEIRA,303,continente modelo,QUARTEIRA,8125-303,303,PT010001
265010003,265,MDL ERMESINDE,303,continente modelo,ERMESINDE,4445-502,303,PT010001
1056010003,1056,MDL LIXA,303,continente modelo,LIXA,4615-655,303,PT010001
270010002,270,MDL ALMEIRIM,303,continente modelo,ALMEIRIM,2080-107,303,PT010001
312010002,312,CBD VIZ STA QUITERIA,302,continente bom dia,LISBOA,1250-212,302,PT010001
2083010002,2083,MDL SEMINÁRIO,303,continente modelo,FUNCHAL,9050-022,303,PT010001
259010002,259,MDL MOITA,303,continente modelo,MOITA,2860-707,303,PT010001
324010004,324,CBD VIZ AV REPUBLICA,302,continente bom dia,VILA NOVA DE GAIA,4430-247,302,PT010001
4291010003,4291,CBD VIZ RESTELO,302,continente bom dia,LISBOA,1400-314,302,PT010001
9622010004,9622,CBD VIALONGA,302,continente bom dia,VIALONGA,2625-655,302,PT010001
298010002,298,MDL NAZARÉ,303,continente modelo,NAZARÉ,2450-287,303,PT010001
4251010003,4251,CBD CABECA SANTA,302,continente bom dia,PENAFIEL,4575-126,302,PT010001
1415010010,1415,MDL CACÉM,303,continente modelo,CACEM,2735-312,303,PT010001
4960010004,4960,CBD GOUVEIA,302,continente bom dia,GOUVEIA,6290-370,302,PT010001
1702010005,1702,CBD CELEIRÓS,302,continente bom dia,BRAGA,4705-474,302,PT010001
3605010003,3605,CBD BRAGA QT PORTAS,302,continente bom dia,BRAGA,4705-105,302,PT010001
232010004,232,MDL T. MERCES,303,continente modelo,MEM MARTINS,2725-580,303,PT010001
7010002,7,CNT SEIXAL,143,continente,SEIXAL,2840-293,143,PT010001
314010002,314,CBD 500 LECA,302,continente bom dia,LEÇA DA PALMEIRA,4450-590,302,PT010001
845010003,845,MDL VIVEIROS,303,continente modelo,FUNCHAL,9000-310,303,PT010001
2403010005,2403,CBD TONDELA,302,continente bom dia,TONDELA,3460-591,302,PT010001
1493010005,1493,MDL MONUMENTAL,303,continente modelo,FUNCHAL,9000-250,303,PT010001
4752010002,4752,MDL Madalena-Açores,303,continente modelo,MADALENA,9950-323,303,PT010001
5746010008,5746,CBD SOBRAL M AGRAÇO,302,continente bom dia,SOBRAL MONTE AGRAÇO,2590-030,302,PT010001
13010002,13,CNT GUIA,143,continente,ALBUFEIRA,8200-417,143,PT010001
239010002,239,MDL BRAGANCA,303,continente modelo,BRAGANÇA,5300-068,303,PT010001
212010003,212,CNT COVILHA,143,continente,COVILHÃ,6200-546,143,PT010001
9586010004,9586,CBD VIZ CARNAXD WTC,302,continente bom dia,CARNAXIDE,2790-045,302,PT010001
3198010003,3198,CBD MACED CAVALEIROS,302,continente bom dia,MACEDO DE CAVALEIROS,5340-194,302,PT010001
325010004,325,CBD BOUCINHAS,302,continente bom dia,OLIVEIRA DO DOURO,4430-247,302,PT010001
2813010006,2813,CBD AV BOAVISTA,302,continente bom dia,PORTO,4100-409,302,PT010001
290010003,290,MDL MACHICO,303,continente modelo,MACHICO,9200-017,303,PT010001
465010003,465,CNT FÓRUM COIMBRA,143,continente,ALM COIMBRA,3044-520,143,PT010001
9379010005,9379,CBD CALDAS RAINHA,302,continente bom dia,CALDAS DA RAINHA,2500-200,302,PT010001
1943010003,1943,MDL PENAFIEL,303,continente modelo,PENAFIEL,4560-232,303,PT010001
289010003,289,MDL ALVERCA,303,continente modelo,ALVERCA,2615-094,303,PT010001
3332010005,3332,CBD GOLEGÃ,302,continente bom dia,GOLEGÃ,2150-154,302,PT010001
4860010005,4860,CBD COVA DA PIEDADE,302,continente bom dia,COVA DA PIEDADE,2805-255,302,PT010001
3696010004,3696,CBD SANTO AMARO OEIR,302,continente bom dia,OEIRAS,2780-335,302,PT010001
4696010006,4696,CBD MOURA,302,continente bom dia,MOURA,7861-909,302,PT010001
1985010004,1985,CBD PAREDE II,302,continente bom dia,CASCAIS,2775-029,302,PT010001
251010002,251,MDL FARO II,303,continente modelo,FARO,8000-800,303,PT010001
2010003,2,CNT AMADORA,143,continente,AMADORA,2720-510,143,PT010001
1057010003,1057,MDL MONTELAVAR,303,continente modelo,MONTELAVAR-SINTRA,2715-686,303,PT010001
214010004,214,MDL TOMAR,303,continente modelo,TOMAR,2300-410,303,PT010001
7943010003,7943,CBD CONDEIXA,302,continente bom dia,CONDEIXA A NOVA,3150-100,302,PT010001
3191010005,3191,MDL VRS ANTONIO,303,continente modelo,VILA REAL S ANTONIO,8900-211,303,PT010001
3883010005,3883,CBD SANTA COMBA DÃO,302,continente bom dia,SANTA COMBA DAO,3440-323,302,PT010001
256010002,256,MDL QTA. CONDE,303,continente modelo,QUINTA DO CONDE,2975-333,303,PT010001
2404010006,2404,CBD ALBERGARIA,302,continente bom dia,ALBERGARIA,3850-184,302,PT010001
3698010004,3698,CBD GANDARA OLIVAIS,302,continente bom dia,LEIRIA,2415-598,302,PT010001
9054010003,9054,MDL Arrifes-Açores,303,continente modelo,PONTA DELGADA,9500-376,303,PT010001
471010003,471,MDL RETAIL VISEU,303,continente modelo,VISEU,3505-639,303,PT010001
7940010004,7940,CBD SAO B MESSINES,302,continente bom dia,SAO B MESSINES,8375-129,302,PT010001
7679010006,7679,CBD MONTE DA VIRGEM,302,continente bom dia,VILA NOVA DE GAIA,4430-433,302,PT010001
5738010003,5738,CBD 500 5 DE OUTUBRO,302,continente bom dia,LISBOA,1050-053,302,PT010001
12010002,12,CNT VASCO GAMA,143,continente,LISBOA,1990-094,143,PT010001
6174010003,6174,CBD MONTE CAPARICA,302,continente bom dia,ALMADA,2825-178,302,PT010001
7773010004,7773,CBD 500 SÃO BENTO,302,continente bom dia,LISBOA,1200-817,302,PT010001
2596010005,2596,CBD ARMAÇAO DE PERA,302,continente bom dia,ARMAÇÃO DE PERA,8365-138,302,PT010001
1051010003,1051,CNT TAVIRA G PLAZA,143,continente,TAVIRA,8800-318,143,PT010001
3010003,3,CNT CASCAIS,143,continente,ALCABIDECHE,2645-543,143,PT010001
1904010004,1904,CBD ALVALADE,302,continente bom dia,LISBOA,1700-007,302,PT010001
9369010006,9369,CBD 800 ARGANIL,302,continente bom dia,ARGANIL,3300-035,302,PT010001
3193010005,3193,CBD OLIVEIRA HOSPITA,302,continente bom dia,OLIVEIRA DO HOSPITAL,3400-173,302,PT010001
322010002,322,CBD VIZ AMADORA,302,continente bom dia,AMADORA,2700-270,302,PT010001
458010003,458,CNT AVEIRO,143,continente,AVEIRO,3800-243,143,PT010001
244010003,244,MDL V. CONDE,303,continente modelo,VILA DO CONDE,4480-776,303,PT010001
263010002,263,MDL MONÇÃO,303,continente modelo,MONÇÃO,4950-855,303,PT010001
7927010003,7927,TENDA MCH MAFRA,143,continente,MAFRA,2640-453,143,PT010001
459010002,459,CNT BRAGA,143,continente,BRAGA,4715-249,143,PT010001
296010002,296,MDL PALMELA,303,continente modelo,PALMELA,2950-313,303,PT010001
2081010002,2081,MDL CAMACHA,303,continente modelo,CAMACHA,9135-060,303,PT010001
275010004,275,MDL CANTANHEDE,303,continente modelo,CANTANHEDE,3060-127,303,PT010001
463010004,463,CNT OEIRAS,143,continente,OEIRAS,2770-195,143,PT010001
7908010003,7908,TENDA CNT BRAGA MC,143,continente,BRAGA,4710-249,143,PT010001
375010002,375,MDL BOMBARRAL,303,continente modelo,BOMBARRAL,2540-095,303,PT010001
2618010003,2618,CBD PADRÃO DA LÉGUA,302,continente bom dia,MATOSINHOS,4465-215,302,PT010001
6175010004,6175,CBD CHAVES,302,continente bom dia,CHAVES,5400-080,302,PT010001
226010002,226,MDL GAIA,303,continente modelo,VILA NOVA DE GAIA,4430-010,303,PT010001
6173010003,6173,CBD ALFRAGIDE,302,continente bom dia,AMADORA,2610-095,302,PT010001
4351010004,4351,CBD CASTRO DAIRE,302,continente bom dia,CASTRO DAIRE,3600-124,302,PT010001
2608010008,2608,CBD GAFANHA NAZARE,302,continente bom dia,GAFANHA DA NAZARE,3830-690,302,PT010001
4321010004,4321,CBD ERICEIRA,302,continente bom dia,ERICEIRA,2655-000,302,PT010001
1392010007,1392,MDL PENICHE,303,continente modelo,AJUDA-PENICHE,2520-000,303,PT010001
284010002,284,MDL REGUENGOS,303,continente modelo,REGUENGOS MONSARAZ,7200-516,303,PT010001
3594010003,3594,CBD FARO MONTENEGRO,302,continente bom dia,FARO,8005-267,302,PT010001
208010004,208,MDL LOULE,303,continente modelo,LOULÉ,8100-390,303,PT010001
203010003,203,CNT VISEU,143,continente,VISEU,3510-159,143,PT010001
1703010006,1703,CBD CABECEIRAS BASTO,302,continente bom dia,CABECEIRAS BASTO,4860-306,302,PT010001
6154010003,6154,CBD RP MATOSINHOS,302,continente bom dia,Santa Cruz do Bispo,4450-337,302,PT010001
1397010009,1397,CBD MASSAMA SUL,302,continente bom dia,MASSAMA-SINTRA,2745-838,302,PT010001
230010003,230,MDL GUARDA,303,continente modelo,GUARDA,6300-566,303,PT010001
297010004,297,MDL OURÉM,303,continente modelo,OURÉM,2490-542,303,PT010001
8765010003,8765,CBD LARGO DO RATO,302,continente bom dia,LISBOA,1250-012,302,PT010001
4418010006,4418,CBD BUARCOS FIG FOZ,302,continente bom dia,BUARCOS,3080-323,302,PT010001
8442010003,8442,CBD POUS  SARAMAGOS,302,continente bom dia,VILA NOVA FAMALICAO,4770-000,302,PT010001
204010002,204,CNT VILA REAL,143,continente,VILA REAL,5000-436,143,PT010001
6989010003,6989,CBD FARO BOM JOAO,302,continente bom dia,FARO,8000-241,302,PT010001
218010004,218,MDL PORTALEGRE,303,continente modelo,PORTALEGRE,7300-526,303,PT010001
268010003,268,MDL VAGOS,303,continente modelo,VAGOS,3840-560,303,PT010001
257010003,257,MDL MADEIRASHOP.,303,continente modelo,FUNCHAL,9024-501,303,PT010001
9010002,9,CNT COLOMBO,143,continente,LISBOA,1500-392,143,PT010001
4593010003,4593,CBD 500 AV PARIS,302,continente bom dia,LISBOA,1000-226,302,PT010001
272010002,272,MDL GULPILHARES,303,continente modelo,V. NOVA GAIA,4405-671,303,PT010001
1910010006,1910,CBD FÁTIMA,302,continente bom dia,Fatima,2495-440,302,PT010001
335010002,335,CBD LARANJEIRO,302,continente bom dia,ALMADA,2810-371,302,PT010001
326010002,326,CBD AREOSA,302,continente bom dia,PEDROUÇOS  MAIA,4435-617,302,PT010001
279010003,279,MDL FUNDÃO,303,continente modelo,FUNDÃO,6230-346,303,PT010001
3368010005,3368,CBD CARNAXIDE,302,continente bom dia,CARNAXIDE,2790-072,302,PT010001
8467010003,8467,CBD ERMESINDE,302,continente bom dia,ERMESINDE,4445-658,302,PT010001
9649010003,9649,CBD MIRA,302,continente bom dia,MIRA,3070-399,302,PT010001
235010002,235,MDL RIO TINTO,303,continente modelo,RIO TINTO,4435-213,303,PT010001
5179010004,5179,CBD S JOAO MADEIRA,302,continente bom dia,S JOAO DA MADEIRA,3700-205,302,PT010001
1393010005,1393,MDL BARCELOS,303,continente modelo,BARCELOS,4750-804,303,PT010001
1706010005,1706,CBD DEFENSORES CHAVE,302,continente bom dia,LISBOA,1000-245,302,PT010001
3212010003,3212,CBD VALENÇA,302,continente bom dia,VALENÇA,4930-000,302,PT010001
4420010005,4420,CBD VIZ VIA RÁPIDA,302,continente bom dia,PORTO,4149-008,302,PT010001
318010004,318,CBD VIZ PRELADA,302,continente bom dia,PORTO,4250-376,302,PT010001
